"number","study.ID","effect..","coder","Full.citation","In.text.Citation","Year","Type","Phylum","Bivalve..Gastropod","Taxon","Tax.level","Aggregate.Trait","Author.s.Trait","Trait.category","Start.stage","End.stage","Aggregate.Age..Event","Age..Event","Location","Data.source","Odds.Ratio","Var.Odds.Ratio","Log.odds.ratio","Var.Lnor","X..Ext","X..Surv","Total...Ext","Total...Surv","N","X.","per.capita.extinction","N.1","Total.per.capita.extinction","notes","x.square","n","df","p..sur.extinct.","X..group.a.extinct","X..group.b.extinct","p..before.after.","coefficient","d.f.","p","Note","X","Test.type","Trait.Type.Species.Total","Mean.Duration..my.","p.1","z","Parametric.Non","Test","n.1","p.2","test.stat","df.1","startTime.Ma","endTime.Ma","Volcanism","Flood_basalt","Bollide","OA","BC.extinction.rate","del.18O","del.13C","X87Sr.86Sr","del.34S","sea_level","d18OresidualMean","d18OresidualMeanWeighted","d18OresidualSD","Dd18O.first.differences.Mean","Dd18O.first.differences.SD","Dd18O.first.differences.ABSMean","Dd18O.first.differences.ABSMeanWeighted","d18O.meanObserved","d18O.meanObservedWeighted","d18O.meanObservedSD","d18O.CV","BC.extinction.rate.PBDB","lnor","vlnor"
NA,"Payne 2011 LGA","2","EO","Payne, Jonathan L., Truebe, Sarah, Nutzel, Alexander, and Chang, Ellen T.,2011, Local and global abundance associated with extinction risk in late Paleozoic and early Mesozoic gastropods: Paleobiology, v. 37, p. 616-632.","Payne et al. 2011",2011,"PR","Mollusca","Gastropod","gastropod","genera","Abundance","Genus Occurance Frequency","Rare","Asselian","Sakmarian","Permian","Assel-Sakm.","global",NA,NA,NA,NA,NA,0,10,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,284,1,1,0,0,0.0185,-3.354,3.8823,0.70753,12.768,31.67,0.7208036735,0.860438716703704,0.761684548684748,-0.173159649,0.890182365305218,0.629453987,0.584560744666667,-2.8856400765,-2.78693396848148,0.53842442135986,-0.186587518569854,0.009,4.19999999999999,17.64
NA,"Payne 2011 LGA","3","EO","Payne, Jonathan L., Truebe, Sarah, Nutzel, Alexander, and Chang, Ellen T.,2011, Local and global abundance associated with extinction risk in late Paleozoic and early Mesozoic gastropods: Paleobiology, v. 37, p. 616-632.","Payne et al. 2011",2011,"PR","Mollusca","Gastropod","gastropod","genera","Abundance","Genus Occurance Frequency","Common","Asselian","Sakmarian","Permian","Assel-Sakm.","global",NA,NA,NA,NA,NA,0,4,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,284,1,1,0,0,0.0185,-3.354,3.8823,0.70753,12.768,31.67,0.7208036735,0.860438716703704,0.761684548684748,-0.173159649,0.890182365305218,0.629453987,0.584560744666667,-2.8856400765,-2.78693396848148,0.53842442135986,-0.186587518569854,0.009,10.5,110.25
NA,"Payne 2011 LGA","4","EO","Payne, Jonathan L., Truebe, Sarah, Nutzel, Alexander, and Chang, Ellen T.,2011, Local and global abundance associated with extinction risk in late Paleozoic and early Mesozoic gastropods: Paleobiology, v. 37, p. 616-632.","Payne et al. 2011",2011,"PR","Mollusca","Gastropod","gastropod","genera","Abundance","Genus Occurance Frequency","Abundant","Asselian","Sakmarian","Permian","Assel-Sakm.","global",NA,NA,NA,NA,NA,0,8,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,284,1,1,0,0,0.0185,-3.354,3.8823,0.70753,12.768,31.67,0.7208036735,0.860438716703704,0.761684548684748,-0.173159649,0.890182365305218,0.629453987,0.584560744666667,-2.8856400765,-2.78693396848148,0.53842442135986,-0.186587518569854,0.009,5.25000000000001,27.5625
NA,"Payne 2011 LGA","1","EO","Payne, Jonathan L., Truebe, Sarah, Nutzel, Alexander, and Chang, Ellen T.,2011, Local and global abundance associated with extinction risk in late Paleozoic and early Mesozoic gastropods: Paleobiology, v. 37, p. 616-632.","Payne et al. 2011",2011,"PR","Mollusca","Gastropod","gastropod","genera","Abundance","Genus Occurance Frequency","VeryRare","Artinskian","Artinskian","Permian","Artinskian","global",NA,NA,NA,NA,NA,7,24,9,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284,279.5,0,0,0,0,0.018,-3.56285,3.96395,0.707305,12.968,32.4635,-0.1698586035,-0.336628588105263,0.497902122942755,-0.6638392855,0.196256568586618,0.6638392855,0.598104066842105,-3.5288961035,-3.65325358810526,0.371276976101774,-0.105210514906783,0.023,-0.328909335426669,0.309174775301069
NA,"Payne 2011 LGA","2","EO","Payne, Jonathan L., Truebe, Sarah, Nutzel, Alexander, and Chang, Ellen T.,2011, Local and global abundance associated with extinction risk in late Paleozoic and early Mesozoic gastropods: Paleobiology, v. 37, p. 616-632.","Payne et al. 2011",2011,"PR","Mollusca","Gastropod","gastropod","genera","Abundance","Genus Occurance Frequency","Rare","Artinskian","Artinskian","Permian","Artinskian","global",NA,NA,NA,NA,NA,2,5,9,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284,279.5,0,0,0,0,0.018,-3.56285,3.96395,0.707305,12.968,32.4635,-0.1698586035,-0.336628588105263,0.497902122942755,-0.6638392855,0.196256568586618,0.6638392855,0.598104066842105,-3.5288961035,-3.65325358810526,0.371276976101774,-0.105210514906783,0.023,-3.99940327007996,6.06361140947607
NA,"Payne 2011 LGA","3","EO","Payne, Jonathan L., Truebe, Sarah, Nutzel, Alexander, and Chang, Ellen T.,2011, Local and global abundance associated with extinction risk in late Paleozoic and early Mesozoic gastropods: Paleobiology, v. 37, p. 616-632.","Payne et al. 2011",2011,"PR","Mollusca","Gastropod","gastropod","genera","Abundance","Genus Occurance Frequency","Common","Artinskian","Artinskian","Permian","Artinskian","global",NA,NA,NA,NA,NA,0,4,9,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284,279.5,0,0,0,0,0.018,-3.56285,3.96395,0.707305,12.968,32.4635,-0.1698586035,-0.336628588105263,0.497902122942755,-0.6638392855,0.196256568586618,0.6638392855,0.598104066842105,-3.5288961035,-3.65325358810526,0.371276976101774,-0.105210514906783,0.023,14.2236842105263,18.5698099415205
NA,"Payne 2011 LGA","4","EO","Payne, Jonathan L., Truebe, Sarah, Nutzel, Alexander, and Chang, Ellen T.,2011, Local and global abundance associated with extinction risk in late Paleozoic and early Mesozoic gastropods: Paleobiology, v. 37, p. 616-632.","Payne et al. 2011",2011,"PR","Mollusca","Gastropod","gastropod","genera","Abundance","Genus Occurance Frequency","Abundant","Artinskian","Artinskian","Permian","Artinskian","global",NA,NA,NA,NA,NA,0,5,9,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284,279.5,0,0,0,0,0.018,-3.56285,3.96395,0.707305,12.968,32.4635,-0.1698586035,-0.336628588105263,0.497902122942755,-0.6638392855,0.196256568586618,0.6638392855,0.598104066842105,-3.5288961035,-3.65325358810526,0.371276976101774,-0.105210514906783,0.023,11.378947368421,11.8846783625731
NA,"Payne 2011 LGA","1","EO","Payne, Jonathan L., Truebe, Sarah, Nutzel, Alexander, and Chang, Ellen T.,2011, Local and global abundance associated with extinction risk in late Paleozoic and early Mesozoic gastropods: Paleobiology, v. 37, p. 616-632.","Payne et al. 2011",2011,"PR","Mollusca","Gastropod","gastropod","genera","Abundance","Genus Occurance Frequency","VeryRare","Kungurian","Kungurian","Permian","Kungurian","global",NA,NA,NA,NA,NA,21,35,25,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279.5,272.5,1,0,0,0,0.06,-3.7717,4.0456,0.70708,13.168,33.257,-0.521928571,-0.521928571,0,-0.525064935,0,0.525064935,0.525064935,-3.791428571,-3.791428571,0,0,0.029,-1.35594936708861,0.179870834409713
NA,"Payne 2011 LGA","2","EO","Payne, Jonathan L., Truebe, Sarah, Nutzel, Alexander, and Chang, Ellen T.,2011, Local and global abundance associated with extinction risk in late Paleozoic and early Mesozoic gastropods: Paleobiology, v. 37, p. 616-632.","Payne et al. 2011",2011,"PR","Mollusca","Gastropod","gastropod","genera","Abundance","Genus Occurance Frequency","Rare","Kungurian","Kungurian","Permian","Kungurian","global",NA,NA,NA,NA,NA,2,21,25,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279.5,272.5,1,0,0,0,0.06,-3.7717,4.0456,0.70708,13.168,33.257,-0.521928571,-0.521928571,0,-0.525064935,0,0.525064935,0.525064935,-3.791428571,-3.791428571,0,0,0.029,3.76282357445383,1.0663042281831
NA,"Payne 2011 LGA","3","EO","Payne, Jonathan L., Truebe, Sarah, Nutzel, Alexander, and Chang, Ellen T.,2011, Local and global abundance associated with extinction risk in late Paleozoic and early Mesozoic gastropods: Paleobiology, v. 37, p. 616-632.","Payne et al. 2011",2011,"PR","Mollusca","Gastropod","gastropod","genera","Abundance","Genus Occurance Frequency","Common","Kungurian","Kungurian","Permian","Kungurian","global",NA,NA,NA,NA,NA,1,6,25,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279.5,272.5,1,0,0,0,0.06,-3.7717,4.0456,0.70708,13.168,33.257,-0.521928571,-0.521928571,0,-0.525064935,0,0.525064935,0.525064935,-3.791428571,-3.791428571,0,0,0.029,7.85897184190132,11.5117334022216
NA,"Payne 2011 LGA","4","EO","Payne, Jonathan L., Truebe, Sarah, Nutzel, Alexander, and Chang, Ellen T.,2011, Local and global abundance associated with extinction risk in late Paleozoic and early Mesozoic gastropods: Paleobiology, v. 37, p. 616-632.","Payne et al. 2011",2011,"PR","Mollusca","Gastropod","gastropod","genera","Abundance","Genus Occurance Frequency","Abundant","Kungurian","Kungurian","Permian","Kungurian","global",NA,NA,NA,NA,NA,1,16,25,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279.5,272.5,1,0,0,0,0.06,-3.7717,4.0456,0.70708,13.168,33.257,-0.521928571,-0.521928571,0,-0.525064935,0,0.525064935,0.525064935,-3.791428571,-3.791428571,0,0,0.029,6.02435635758399,1.95181638999606
NA,"Payne 2011 LGA","1","EO","Payne, Jonathan L., Truebe, Sarah, Nutzel, Alexander, and Chang, Ellen T.,2011, Local and global abundance associated with extinction risk in late Paleozoic and early Mesozoic gastropods: Paleobiology, v. 37, p. 616-632.","Payne et al. 2011",2011,"PR","Mollusca","Gastropod","gastropod","genera","Abundance","Genus Occurance Frequency","VeryRare","Roadian","Roadian","Permian","Roadian","global",NA,NA,NA,NA,NA,12,25,13,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272.5,268,0,0,0,0,0.06,-3.6077,4.51115,0.707115,13.6505,28.4125,-2.2273795635,-1.85662934773913,2.41187192355616,-1.8595959595,1.88731187425556,1.8595959595,1.5694805193913,-5.3884920635,-5.04130434773913,2.25858885106444,-0.419150445885118,0.056,-0.600073046018992,0.20518626734843
NA,"Payne 2011 LGA","2","EO","Payne, Jonathan L., Truebe, Sarah, Nutzel, Alexander, and Chang, Ellen T.,2011, Local and global abundance associated with extinction risk in late Paleozoic and early Mesozoic gastropods: Paleobiology, v. 37, p. 616-632.","Payne et al. 2011",2011,"PR","Mollusca","Gastropod","gastropod","genera","Abundance","Genus Occurance Frequency","Rare","Roadian","Roadian","Permian","Roadian","global",NA,NA,NA,NA,NA,1,12,13,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272.5,268,0,0,0,0,0.06,-3.6077,4.51115,0.707115,13.6505,28.4125,-2.2273795635,-1.85662934773913,2.41187192355616,-1.8595959595,1.88731187425556,1.8595959595,1.5694805193913,-5.3884920635,-5.04130434773913,2.25858885106444,-0.419150445885118,0.056,3.63786982248521,1.66213017751479
NA,"Payne 2011 LGA","3","EO","Payne, Jonathan L., Truebe, Sarah, Nutzel, Alexander, and Chang, Ellen T.,2011, Local and global abundance associated with extinction risk in late Paleozoic and early Mesozoic gastropods: Paleobiology, v. 37, p. 616-632.","Payne et al. 2011",2011,"PR","Mollusca","Gastropod","gastropod","genera","Abundance","Genus Occurance Frequency","Common","Roadian","Roadian","Permian","Roadian","global",NA,NA,NA,NA,NA,0,3,13,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272.5,268,0,0,0,0,0.06,-3.6077,4.51115,0.707115,13.6505,28.4125,-2.2273795635,-1.85662934773913,2.41187192355616,-1.8595959595,1.88731187425556,1.8595959595,1.5694805193913,-5.3884920635,-5.04130434773913,2.25858885106444,-0.419150445885118,0.056,22.9666666666667,31.2111111111111
NA,"Payne 2011 LGA","4","EO","Payne, Jonathan L., Truebe, Sarah, Nutzel, Alexander, and Chang, Ellen T.,2011, Local and global abundance associated with extinction risk in late Paleozoic and early Mesozoic gastropods: Paleobiology, v. 37, p. 616-632.","Payne et al. 2011",2011,"PR","Mollusca","Gastropod","gastropod","genera","Abundance","Genus Occurance Frequency","Abundant","Roadian","Roadian","Permian","Roadian","global",NA,NA,NA,NA,NA,0,0,13,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272.5,268,0,0,0,0,0.06,-3.6077,4.51115,0.707115,13.6505,28.4125,-2.2273795635,-1.85662934773913,2.41187192355616,-1.8595959595,1.88731187425556,1.8595959595,1.5694805193913,-5.3884920635,-5.04130434773913,2.25858885106444,-0.419150445885118,0.056,NA,Inf
NA,"Payne 2011 LGA","1","EO","Payne, Jonathan L., Truebe, Sarah, Nutzel, Alexander, and Chang, Ellen T.,2011, Local and global abundance associated with extinction risk in late Paleozoic and early Mesozoic gastropods: Paleobiology, v. 37, p. 616-632.","Payne et al. 2011",2011,"PR","Mollusca","Gastropod","gastropod","genera","Abundance","Genus Occurance Frequency","VeryRare","Wordian","Capitanian","Permian","Word.-Cap.","global",NA,NA,NA,NA,NA,14,13,22,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268,260.5,1,0,0,0,0.1165,-3.4437,4.9767,0.70715,14.133,23.568,-3.932830556,-3.932830556,0,-3.194126984,0,3.194126984,3.194126984,-6.985555556,-6.985555556,0,0,0.1005,-0.421997755331089,0.259690926357593
NA,"Payne 2011 LGA","2","EO","Payne, Jonathan L., Truebe, Sarah, Nutzel, Alexander, and Chang, Ellen T.,2011, Local and global abundance associated with extinction risk in late Paleozoic and early Mesozoic gastropods: Paleobiology, v. 37, p. 616-632.","Payne et al. 2011",2011,"PR","Mollusca","Gastropod","gastropod","genera","Abundance","Genus Occurance Frequency","Rare","Wordian","Capitanian","Permian","Word.-Cap.","global",NA,NA,NA,NA,NA,6,9,22,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268,260.5,1,0,0,0,0.1165,-3.4437,4.9767,0.70715,14.133,23.568,-3.932830556,-3.932830556,0,-3.194126984,0,3.194126984,3.194126984,-6.985555556,-6.985555556,0,0,0.1005,0.736223776223776,0.841398601398601
NA,"Payne 2011 LGA","3","EO","Payne, Jonathan L., Truebe, Sarah, Nutzel, Alexander, and Chang, Ellen T.,2011, Local and global abundance associated with extinction risk in late Paleozoic and early Mesozoic gastropods: Paleobiology, v. 37, p. 616-632.","Payne et al. 2011",2011,"PR","Mollusca","Gastropod","gastropod","genera","Abundance","Genus Occurance Frequency","Common","Wordian","Capitanian","Permian","Word.-Cap.","global",NA,NA,NA,NA,NA,1,2,22,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268,260.5,1,0,0,0,0.1165,-3.4437,4.9767,0.70715,14.133,23.568,-3.932830556,-3.932830556,0,-3.194126984,0,3.194126984,3.194126984,-6.985555556,-6.985555556,0,0,0.1005,7.88811188811189,21.034965034965
